species,lon,lat,source
Rhopias gularis,-46.316667,-23.783333,Hasui
Dysithamnus xanthopterus,-46.316667,-23.783333,Hasui
Phylloscartes oustaleti,-46.316667,-23.783333,Hasui
Ilicura militaris,-46.316667,-23.783333,Hasui
Schiffornis virescens,-46.316667,-23.783333,Hasui
Carpornis cucullata,-46.316667,-23.783333,Hasui
Hemitriccus orbitatus,-46.316667,-23.783333,Hasui
Saltator fuliginosus,-46.316667,-23.783333,Hasui
Phylloscartes paulista,-51.116667,-25.783333,Hasui
Heliobletus contaminatus,-51.116667,-25.783333,Hasui
Schiffornis virescens,-51.116667,-25.783333,Hasui
Haplospiza unicolor,-51.116667,-25.783333,Hasui
Heliobletus contaminatus,-52,-26.5,Hasui
Haplospiza unicolor,-52,-26.5,Hasui
Mionectes rufiventris,-46.783333,-23.533333,Hasui
Heliobletus contaminatus,-46.783333,-23.533333,Hasui
Philydor atricapillus,-46.783333,-23.533333,Hasui
Schiffornis virescens,-46.783333,-23.533333,Hasui
Sclerurus scansor,-50.9167,-24.2,Hasui
Philydor atricapillus,-49.5,-28.65,Hasui
Rhopias gularis,-49.5,-28.65,Hasui
Anabacerthia amaurotis,-48.9167,-27.2833,Hasui
Rhopias gularis,-48.9167,-27.2833,Hasui
Neopelma chrysolophum,-42.533333,-22.266667,Hasui
Anabacerthia amaurotis,-42.5333,-22.2667,Hasui
Cranioleuca pallida,-42.5333,-22.2667,Hasui
Heliobletus contaminatus,-42.5333,-22.2667,Hasui
Dysithamnus xanthopterus,-42.5333,-22.2667,Hasui
Philydor atricapillus,-46.4,-23.183333,Hasui
Schiffornis virescens,-46.4,-23.183333,Hasui
Drymophila ochropyga,-41.9167,-21.4667,Hasui
Schiffornis virescens,-46.683333,-22.666667,Hasui
Hemitriccus orbitatus,-46.683333,-22.666667,Hasui
Drymophila ochropyga,-46.683333,-22.666667,Hasui
Mionectes rufiventris,-46.2,-23.516667,Hasui
Neopelma chrysolophum,-46.2,-23.516667,Hasui
Heliobletus contaminatus,-46.2,-23.516667,Hasui
Phylloscartes paulista,-46.2,-23.516667,Hasui
Haplospiza unicolor,-46.2,-23.516667,Hasui
Merulaxis ater,-47.2,-24.033333,Hasui
Neopelma chrysolophum,-46.45,-23.666667,Hasui
Anabacerthia lichtensteini,-43.4167,-20.3833,Hasui
Mionectes rufiventris,-43.4167,-20.3833,Hasui
Lipaugus lanioides,-43.4167,-20.3833,Hasui
Anabazenops fuscus,-43.4,-20.3667,Hasui
Cranioleuca pallida,-43.4,-20.3667,Hasui
Neopelma chrysolophum,-45.383333,-22.3,Hasui
Schiffornis virescens,-44.5167,-23.0167,Hasui
Haplospiza unicolor,-50.833333,-25.833333,Hasui
Sclerurus scansor,-40.483333,-17.783333,Hasui
Onychorhynchus swainsoni,-40.483333,-17.783333,Hasui
Schiffornis virescens,-49.716667,-21.333333,Hasui
Mionectes rufiventris,-47,-23.880278,Hasui
Mionectes rufiventris,-47.024444,-23.868611,Hasui
Ilicura militaris,-47.024444,-23.868611,Hasui
Anabazenops fuscus,-47.2428,-23.9574,Hasui
Carpornis cucullata,-47.2428,-23.9574,Hasui
Cranioleuca pallida,-47.2428,-23.9574,Hasui
Drymophila ochropyga,-47.2428,-23.9574,Hasui
Hypoedaleus guttatus,-47.2428,-23.9574,Hasui
Rhopias gularis,-47.2428,-23.9574,Hasui
Philydor atricapillus,-47.2428,-23.9574,Hasui
Phylloscartes oustaleti,-47.2428,-23.9574,Hasui
Saltator fuliginosus,-47.2428,-23.9574,Hasui
Schiffornis virescens,-47.2428,-23.9574,Hasui
Sclerurus scansor,-47.2428,-23.9574,Hasui
Mionectes rufiventris,-47.2428,-23.9574,Hasui
Mionectes rufiventris,-47.666667,-24.166667,Hasui
Philydor atricapillus,-47.65,-24.15,Hasui
Cichlocolaptes leucophrus,-47.65,-24.15,Hasui
Sclerurus scansor,-47.65,-24.15,Hasui
Myrmotherula unicolor,-47.65,-24.15,Hasui
Mionectes rufiventris,-47.65,-24.15,Hasui
Schiffornis virescens,-47.65,-24.15,Hasui
Philydor atricapillus,-47.616667,-24.25,Hasui
Anabazenops fuscus,-47.616667,-24.25,Hasui
Cichlocolaptes leucophrus,-47.616667,-24.25,Hasui
Anabacerthia lichtensteini,-47.616667,-24.25,Hasui
Sclerurus scansor,-47.616667,-24.25,Hasui
Myrmotherula unicolor,-47.616667,-24.25,Hasui
Rhopias gularis,-47.616667,-24.25,Hasui
Mionectes rufiventris,-47.616667,-24.25,Hasui
Platyrinchus leucoryphus,-47.616667,-24.25,Hasui
Phylloscartes paulista,-47.616667,-24.25,Hasui
Hemitriccus orbitatus,-47.616667,-24.25,Hasui
Ilicura militaris,-47.616667,-24.25,Hasui
Carpornis cucullata,-47.616667,-24.25,Hasui
Lipaugus lanioides,-47.616667,-24.25,Hasui
